lp,Kod towaru,nazwa towaru,Lot,jm,stan początkowy,przychód,rozchód,stan końcowy,stan rzeczywisty,ilość przeterminowanych
1,O-K-ZA41301-02,"PrePack GSH Purose 4FF, 5x5mL",1,szt,1,0,1,0,1,
2,O-K-ZA41002-02,"PrePack Ni-NTA Purose 6FF, 5x5mL",2,szt,0,0,0,0,0,
3,O-K-ZA20502-02,"PrePack SP Purose 6FF, 5x5mL",3,szt,1,0,1,0,0,
4,O-K-ZA20302-02,"PrePack Q Purose 6FF, 5x5mL",4,szt,1,0,1,0,0,
5,O-K-ZA20202-02,PrePack DEAE Purose 6FF 5x5ml,5,szt,1,0,0,1,0,
6,O-K-Z4750-100G,"Zinc sulfate heptahydrate, 100g, Sigma Aldrich, Z4750",6,szt,0,1,0,1,0,
7,O-K-Z0251-100G,"Siarczan cynku siedmiowodny, 100g, Sigma-Aldrich, Z0251-100G",7,szt,0,0,0,0,0,
8,O-K-W373011-1 00G-K,"L-RHAMNOSE, Natural Sourced, 99%, 100g, Sigma- Aldrich, W373011-100G-K",8,szt,0,1,0,1,1,
9,O-K-W331902-1 00G-K,"L-Proline 99%, FCC, FG, 100g, Sigma-Aldrich, W331902-100G-K",9,szt,0,1,0,1,1,
10,O-K-V44001,"pBAD/myc-His A,B,C Kit, part no. 45-0376, Invitrogen, V44001",10,szt,0,1,1,0,0,
11,O-K-TEV-Sap-R,Starter TEV-Sap-R,11,szt,0,0,0,0,0,
12,O-K-TEV-Sap-F,Starter TEV-Sap-F,12,szt,0,0,0,0,0,
13,O-K-TCEP25,"TCEP-HCL Tris, 25g, Goldbio, TCEP25",13,szt,48,176,204,20,53,
14,O-K-TCEP100-IN T,"TCEP-HCl, 100g, GoldBio, TCEP100-INT",14,szt,0,27,27,0,0,
15,O-K-T9531-100G,"D-(+)-Trehalose dihydrate from Saccharomyces cerevisiae, 100g, Sigma, T9531-100G",15,szt,0,1,1,0,0,
16,O-K-T8250-5G,"D-Threonine, 5G, Sigma-Aldrich, T8250",16,szt,0,1,0,1,1,
17,O-K-T7875-100G,"Triourea, 100g, Sigma Aldrich, T7875",17,szt,0,1,0,1,1,
18,O-K-T5130-25G,"TAPS, 25g",18,szt,0,0,0,0,0,
19,O-K-T4-Sap-R,Starter T4-Sap-R,19,szt,0,0,0,0,0,
20,O-K-T4-Sap-F,Starter T4-Sap-F,20,szt,0,0,0,0,0,
21,O-K-T4625-5G,"Thiamine hydrochloride, 5g, Sigma Aldrich, T4625",21,szt,0,1,1,0,0,
22,O-K-T4625-100G,"Thiamine hydrochloride, reagent grade, 100g, Sigma Aldrich, T4625-100G",22,szt,0,1,0,1,1,
23, O-K-T0254-5G           ,"L-Tryptophan, Reagent Grade, 5G, Sigma-Aldrich, T0254",23,szt ,0,1,0,1,1,
24,O-K-STS0007-10 0ML,"ECOSURF SA-9, 100ml, Sigma-Aldrich, STS0007-100ML",24,szt,0,0,0,0,0,
25,O-K-starter,Starter,25,szt,0,0,0,0,0,
26,O-K-SM1303,"Orangeruler 5bp, RTU",26,szt,0,0,0,0,0,
27,O-K-SM0313,"GeneRuler 1kb DNA Ladder, ready-to-use, 5x50ug, ThermoScientific, SM0313",27,op,0,2,0,2,2,
28,O-K-SM0101,"Lambda DNA/HindIII Marker 2, 5x50ug, ThermoScientific, SM0101",28,szt,0,15,3,12,7,
29,O-K-SD0061,"pUC19 DNA, 50ug, Thermofisher, SD0061",29,szt,0,5,5,0,1,
30,O-K-SB02,"TMB Stabilized Chromogen Biosource™, 1L, Life Technologies, SB02",30,szt,0,1,1,0,0,
31,O-K-SAA305.1,Sodium acetate trihydrate,31,szt,1,0,1,0,0,
32,O-K-S5761-500G,"Sodium bicarbonate, 500g, Sigma Aldrich, S5761",32,szt,0,1,0,1,1,
33,O-K-S5261-25G,"Selenin sodu, 25g, Sigma-Aldrich, S5261-25G",33,szt,0,0,0,0,0,
34,O-K-S2626-1G,Spermidine Free Base 1G,34,szt,0,0,0,0,0,
35,O-K-S2002-100G,"Sodium azide, 100g, Sigma Aldrich, S2002",35,szt,0,1,1,0,1,
36,O-K-S1876-5K,"D-Sorbitol, 5kg, Sigma-Aldrich, S1876-5KG",36,szt,0,1,1,0,0,
37,O-K-S1876-1KG,"D-Sorbitol, 1kg, Sigma Aldrich, S1876",37,szt,0,2,2,0,0,
38,O-K-S1876-10K G,"D-Sorbitol, 10kg, Sigma-Aldrich, S1876-10KG",38,szt,1,0,1,0,1,
39,O-K-S0876-500G,"Sodium phosphate dibasic, 500g, Sigma Aldrich, S0876-500G",39,szt,0,0,0,0,0,
40,O-K-S0266-1G,"Spermidine, 1g, Sigma, S0266-1G",40,szt,0,1,0,1,1,
41,O-K-S-0023-5KG,"Pepton Tryptone, 5kg, BTL, S-0023",41,szt,0,12,12,0,0,
42,O-K-S0023-1KG,"PEPTON TRYPTONE, 1KG, BTL, S0023",42,szt,0,60,60,0,0,
43,"O-K-S0023,5KG","PEPTON TRYPTONE,5KG,BTL,S002 3",43,szt,0,29,29,0,0,
44,O-K-S-0023,"Pepton Tryptone 0,5kg, BTL, S-0023",44,szt,10,80,81,9,9,
45,O-K-S0023,"Pepton Tryptone, 1kg, BTL, S-0023",45,szt,0,126,126,0,0,
46,O-K-S-0003-5KG,"Ekstrakt drożdzowy, 5kg, BTL, S-0003",46,szt,0,44,44,0,0,
47,O-K-S0003-5KG,"EKSTRAKT DROŻDŻOWY,5K,BTL,S0003",47,szt,0,54,54,0,0,
48,O-K-S-0003,"Ekstrakt drożdżowy, 0,5kg, BTL, S-0003",48,szt,12,294,287,19,18,
49,O-K-S0003,"Ekstrakt drożdżowy, 1kg, BTL, S-0003",49,szt,0,247.5,247.5,0,0,
50,O-K-RUB123.25,Rubidium chloride 25g,50,szt,1,0,1,0,0,
51,O-K-Rna2,"Rna2, Sigma-Aldrich",51,szt,0,0,0,0,0,
52,O-K-Rna1,"RNa1, Sigma-Aldrich",52,szt,0,0,0,0,0,
53, O-K-Rev_EM72_ Hyg1,Starter Rev_EM72_Hyg1,53, szt,0,0,0,0,0,
54,O-K-R6625-25G,"Ribonucleic Acid type VI, Sigma-Aldrich, 25g, R6625-25G",54,szt,0,0,0,0,0,
55,O-K-R4334566-B C,"Universal RNA- Mouse Normal Tissues, 4x100ug, BioCat, R4334566-BC",55,szt,0,1,0,1,1,
56,O-K-R0712S,"BspQI, recombinant, 500U",56,szt,0,0,0,0,0,
57,O-K-R0611,"6X DNA Loading Dye, 5x1ml, ThermoScientific, R0611",57,op,0,2,0,2,1,
58,O-K-R0569S,"SapI recombinant Enzyme, 250 units, NEB BioLabs, R0569S",58,szt,0,1,1,0,0,
59,O-K-R0481,"NTP Set, 100MM Solution, 4x25umol, Thermoscientific, R0481",59,szt,0,1,0,1,1,
60,O-K-R0144S,"BglII recombinant Enzyme, 2.000 units, NEB BioLabs, R0144S",60,szt,0,1,1,0,1,
61,O-K-R0138T,"enzym SalI, 2000U",61,szt,0,0,0,0,0,
62,O-K-R0138S,"Sall, recombinant, 2000U, Lab-JOT, R0138S",62,szt,0,0,0,0,0,
63,O-K-R0136S,"BamHI recombinant, 10000U, Lab-JOT, R0136S",63,szt,0,0,0,0,0,
64,O-K-R0104S,"HindIII recombinant Enzyme, 10.000 units, NEB BioLabs, R0104S",64,szt,0,1,1,0,1,
65,O-K-Pwo2Q93,starter do polimerazy Phusion,65,szt,0,0,0,0,0,
66,O-K-Pwo1Q93A,starter do polimerazy Phusion,66,szt,0,0,0,0,0,
67,O-K-PS31500,LB Broth 500g,67,szt,13,0,7,6,4,
68,O-K-ProtK_Glyou t,"Starter, ProtK_Glyout, Sigma-Aldrich",68,szt,0,0,0,0,,
69,O-K-PR033,"Linear Acrylamide (5 x 2ml, 5mg/ml),10ml, OMEGA, PR033",69,szt,0,0,0,0,,
70,O-K-PP-410S,"DNase Detection Kit, 100 reactions, Jena Bioscience, PP-410S, order. 92362",70,szt,0,3,1,2,2,
71,O-K-plec2,"Plec2, strater, Sigma-Aldrich",71,szt,0,0,0,0,0,
72,O-K-Plec1,"Plec1, Starter. Sigma-Aldrich",72,szt,0,0,0,0,0,
73,O-K-PIERN301,"TMB SUBSTRATE SOLUTION, 100ml, Thermo, PIERN301",73,szt,4,0,3,1,2,
74,O-K-PIERA3955 2,"Pierce Chromogenic Endotoxin Quant Kit, 60 reacts, ThermoScientific, PIER-A39552",74,szt,1,0,1,0,1,
75,O-K-PHE510,"Phenol, Saturated pH 6.6/7.9",75,szt,0,0,0,0,1,
76,O-K-pD915seq-F,pD915seq-F starter,76,szt,0,0,0,0,,
77,O-K-pD864-SR,"pD864-SR, ATUM",77,szt,1,0,0,1,,
78,O-K-pD454seq-R,pD454seq-R starter,78,szt,0,0,0,0,,
79,O-K-pD454-HMB P,"pD454-HMBP: T7-HisMBP-ORF, Ecoli-ElecD, 10rx, ATUM, pD454-HMBP",79,szt,1,0,0,1,,
80,O-K-pD451-SR,"DNA Plasmid pD451-SR:T7-sRBS-ORF,Ecoli-ElecD, ATUM, pD451-SR",80,szt,0,1,0,1,,
81,O-K-pD434-SR,"pD434-SR: T70sRBS-ORF, Ecoli-ElecD, 10rx, ATUM,pD434-SR",81,szt,1,0,0,1,,
82,O-K-pD1841,"pD1841, ATUM",82,szt,1,0,0,1,,
83,O-K-pD1831seq F,pD1831seqF starter,83,szt,0,0,0,0,,
84,O-K-pD1821,"pD1821:PhoA-ORF, Ecoli-ElecD, 10rx, ATUM, pD1821",84,szt,1,0,0,1,,
85,O-K-PCR-390S,"Saphir Bst 2.0 Turbo Polymerase, 2000 Units, Jena Bioscience,
PCR-390S",85,szt,0,1,0,1,0,
86,O-K-PCR-379,"EvaGreen (R) Fluorescent DNA Stain, 500ul (100uM),
Jena Bioscience, PCR-379",86,szt,0,1,0,1,0,
87,O-K-PB06-5000,"Ekstrakt drożdżowy, 5kg",87,szt,3,0,3,0,0,
88,O-K-PB06-500,yeast extract 500g,88,szt,0,0,0,0,0,
89,O-K-PB02-5000,"Trypton, 5kg",89,szt,0,0,0,0,0,
90,O-K-PB 06 5KG,yeast extract mikrogranulat 5kg,90,szt,0,0,0,0,0,
91,O-K-PB 02-500,TRYPTONE 500g,91,szt,0,0,0,0,0,
92,O-K-PA-03-4420- E,"Ekstrakt drożdżowy, 1kg, Pol-Aura, PA-03-4420-E",92,szt,4,0,0,4,4,
93,O-K-P9641-50G,"NONAETHYLENE GLYCOL MONODODECYL ETEHR, 50G, Sigma-Aldrich, P9641-50G",93,szt,0,0,0,0,,
94,O-K-P9416-100M L,"TWEEN 20, 100ml, Sigma Aldrich, P9416",94,szt,0,2,1,1,0,
95,O-K-P7626-25G,"Phenylmethanesulfonyl fluoride, 25G, SIGMA-ALDRICH, P7626-25G",95,szt,0,2,2,0,0,
96,O-K-P5958-1KG,"Potassium hydroxide Bioxtra, 1kg, Sigma-Aldrich, P5958",96,szt,0,12,5,7,7,
97,O-K-P5379-100G,"Potassium phosphate monobasic, 100g, SigmaAldrich, P5379-100G",97,szt,0,1,1,0,0,
98,O-K-P3504-10G,"Ponceau S Sodium Practical Grade, 10G, Sigma-Aldrich, P3504",98,szt,0,1,0,1,1,
