article_id,article_code,,,,article_name,,article_lot_number,article_purchase_date,article_purchase_user,article_delivery_date,article_delivery_quantity,,article_units,article_initial_quantity,article_used,article_user,article_remaining_quantity,article_project
82,O-K-R6625-25G,,,,"Ribonucleic Acid type VI, Sigma-Aldrich, 25g, R6625-25G",,,,,,0,,szt,0,0,,0,
83,O-K-R4334566-B C,,,,"Universal RNA- Mouse Normal Tissues, 4x100ug,",,,,,,1,,szt,0,0,,1,
,,,,,"BioCat, R4334566-BC",,,,,,,,,,,,,
84,O-K-R0712S,,,,"BspQI, recombinant, 500U",,,,,,0,,szt,0,0,,0,
85,O-K-R0611,,,,"6X DNA Loading Dye,
5x1ml, ThermoScientific, R0611",,,,,,2,,op,0,0,,2,
86,O-K-R0569S,,,,"SapI recombinant Enzyme, 250 units, NEB BioLabs,
R0569S",,,,,,1,,szt,0,1,,0,
87,O-K-R0481,,,,"NTP Set, 100MM Solution, 4x25umol,
Thermoscientific, R0481",,,,,,1,,szt,0,0,,1,
88,O-K-R0144S,,,,"BglII recombinant Enzyme,
2.000 units, NEB BioLabs, R0144S",,,,,,1,,szt,0,1,,0,
89,O-K-R0138T,,,,"enzym SalI, 2000U",,,,,,0,,szt,0,0,,0,
90,O-K-R0138S,,,,"Sall, recombinant, 2000U, Lab-JOT, R0138S",,,,,,0,,szt,0,0,,0,
91,O-K-R0136S,,,,"BamHI recombinant,
10000U, Lab-JOT, R0136S",,,,,,0,,szt,0,0,,0,
92,O-K-R0104S,,,,"HindIII recombinant
Enzyme, 10.000 units, NEB BioLabs, R0104S",,,,,,1,,szt,0,1,,0,
93,O-K-Pwo2Q93,,,,starter do polimerazy Phusion,,,,,,0,,szt,0,0,,0,
94,O-K-Pwo1Q93A,,,,starter do polimerazy Phusion,,,,,,0,,szt,0,0,,0,
95,O-K-PS31500,,,,LB Broth 500g,,,,,,0,,szt,13,7,,6,
96,O-K-ProtK_Glyou t,,,,"Starter, ProtK_Glyout, Sigma-Aldrich",,,,,,0,,szt,0,0,,0,
97,O-K-PR033,,,,"Linear Acrylamide (5 x 2ml, 5mg/ml),10ml, OMEGA, PR033",,,,,,0,,szt,0,0,,0,
98,O-K-PP-410S,,,,"DNase Detection Kit, 100
reactions, Jena Bioscience, PP-410S, order. 92362",,,,,,3,,szt,0,1,,2,
99,O-K-plec2,,,,"Plec2, strater, Sigma-Aldrich",,,,,,0,,szt,0,0,,0,
100,O-K-Plec1,,,,"Plec1, Starter. Sigma-Aldrich",,,,,,0,,szt,0,0,,0,
101,O-K-PIERN301,,,,"TMB SUBSTRATE SOLUTION, 100ml,
Thermo, PIERN301",,,,,,0,,szt,4,3,,1,
102,O-K-PIERA3955 2,,,,"Pierce Chromogenic Endotoxin Quant Kit, 60 reacts, ThermoScientific,
PIER-A39552",,,,,,0,,szt,1,1,,0,
103,O-K-PHE510,,,,"Phenol, Saturated pH 6.6/7.9",,,,,,0,,szt,0,0,,0,
104,O-K-pD915seq-F,,,,pD915seq-F starter,,,,,,0,,szt,0,0,,0,
105,O-K-pD864-SR,,,,"pD864-SR, ATUM",,,,,,0,,szt,1,0,,1,
106,O-K-pD454seq-R,,,,pD454seq-R starter,,,,,,0,,szt,0,0,,0,
107,O-K-pD454-HMB P,,,,"pD454-HMBP: T7-HisMBP-ORF,",,,,,,0,,szt,1,0,,1,
,,,,,"Ecoli-ElecD, 10rx, ATUM, pD454-HMBP",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
108,O-K-pD451-SR,,,,"DNA Plasmid
pD451-SR:T7-sRBS-ORF,",,,,,,1,,szt,0,0,,1,
,,,,,"Ecoli-ElecD, ATUM, pD451-SR",,,,,,,,,,,,,
109,O-K-pD434-SR,,,,"pD434-SR: T70sRBS-ORF,
Ecoli-ElecD, 10rx, ATUM,",,,,,,0,,szt,1,0,,1,
,,,,,pD434-SR,,,,,,,,,,,,,
110,O-K-pD1841,,,,"pD1841, ATUM",,,,,,0,,szt,1,0,,1,
111,O-K-pD1831seq F,,,,pD1831seqF starter,,,,,,0,,szt,0,0,,0,
112,O-K-pD1821,,,,"pD1821:PhoA-ORF,
Ecoli-ElecD, 10rx, ATUM, pD1821",,,,,,0,,szt,1,0,,1,
113,O-K-PCR-390S,,,,"Saphir Bst 2.0 Turbo Polymerase, 2000 Units, Jena Bioscience,
PCR-390S",,,,,,1,,szt,0,0,,1,
